,course_title,course_unit,equivalent_courses,instructors,notes
FNDL 20024,"Nabokov's Ada, or Ardor",100,"REES 30024,ENGL 20024,REES 20024",Malynne Sternstein,
FNDL 20301,Beginning the Chinese Novel,100,EALC 15100,A. Fox,
FNDL 21005,Philosophy:  Plato's Phaedrus,100,"BIBL 31200,GREK 31200,GREK 21200",E. Asmis,
FNDL 21203,Freud’s Interpretation of Dreams,100,,E. Santner,
FNDL 21300,James Joyce's Ulysses,100,ENGL 21301,S. Meredith,
FNDL 21320,A Couple Openended Novels,100,ENGL 24005,S. Meredith,
FNDL 21603,Machiavelli and Machiavellism,100,"CMLT 25801,LLSO 21603,CMLT 35801,ITAL 23000",R. Rubini,Course conducted in English. Those seeking Italian credit will do all work in Italian.
FNDL 21650,Kafka's The Trial,100,,M. Sternstein,
FNDL 21806,Pascal and Simone Weil,100,,T. Pavel,"The course will be taught in English. For French undergraduates and graduates, we will hold a bi-weekly one-hour meeting to study the original French texts."
FNDL 21809,Immanuel Kant's Critique of Practical Reason,100,"RETH 31702,RLST 24304",W. Schweiker,
FNDL 22001,Foucault and The History of Sexuality,100,"CMLT 25001,GNSE 23100,HIPS 24300,KNOW 27002,PHIL 24800",A. Davidson,One prior philosophy course is strongly recommended. Students should register via discussion section.
FNDL 22211,Introduction à la littérature arthurienne,100,FREN 22210,D. Delogu,
FNDL 22220,"Marx’s Capital, Volume I",100,"PHIL 32220,PHIL 22220",A. Ford,Undergrads enroll in sections 01 & 02. Graduates enroll in section 03.
FNDL 22309,"Zhuangzi: Literature, Philosophy, or Something Else",100,CMLT 21815,Haun Saussy,
FNDL 22310,Dante's Rime,100,"ITAL 22310,ITAL 32310",J. Steinberg,Texts will be read in Italian. Discussion language to be determined by class makeup.
FNDL 23107,Introduction to Ethics,100,"HIPS 21000,PHIL 21000",C. Vogler,Students should register via discussion section.
FNDL 24403,Herodotus and Thucydides: History and Politics,100,"PLSC 34401,PLSC 24401",M. Landauer,
FNDL 24410,Montaigne dans l’histoire littéraire: inventions/récupérations,100,"FREN 34410,FREN 24410",P. Desan,
FNDL 24504,Justin Martyr,100,"GREK 34500,BIBL 41801,NTEC 41801,GREK 24500",D. Martinez,
FNDL 24612,Dostoevsky,100,"HUMA 24800,REES 30013,RLST 28204,REES 20013",Robert Bird,
FNDL 24901,Tolkien: Medieval and Modern,100,"RLST 22400,HIST 29902",R. Fulton,
FNDL 25100,Thomas Mann's Joseph and His Brothers,100,"GRMN 25117,RLST 28215,CMLT 25103,JWSC 23402",O. Solovieva,
FNDL 25817,W. G. Sebald: On The Natural History of Destruction,100,"GRMN 35817,GRMN 25817",E. Santner,"Texts will be available in English and German, discussion will be held in English. We will “accompany” our reading of Sebald with a reading of Lucretius’s poem, On Nature."
FNDL 26206,Gramsci,100,"ITAL 36000,REMS 36000,ITAL 26000",R. Rubini,Language to be determined by class makeup
FNDL 27103,War and Peace,100,"REES 30001,CMLT 22301,CMLT 32301,ENGL 28912,HIST 23704,ENGL 32302,REES 20001",William Nickell,
FNDL 27201,Spinoza,100,PHIL 27201,A. Silverman,
FNDL 27517,"Metaphysics, Morbidity, & Modernity: Mann’s The Magic Mountain",100,"CMLT 27517,GRMN 27517",,This is a LECTURE course with discussion sections. All readings in English.
FNDL 27950,The Declaration of Independence,100,"HIST 17604,HMRT 17950,LLSO 27950,ENGL 17950",E. Slauter,
FNDL 28202,Introduction to the New Testament: Texts and Contexts,100,"RLST 12000,BIBL 32500",M. Mitchell,
