,match,course_code,Compulsory
PBPL 20000,0,ECON 20000,True
PBPL 21800,0,ECON 19800,False
PBPL 22200,0,PBPL 20000,False
PBPL 23200,0,ECON 21000,False
PBPL 24500,0,ECON 20100,True
PBPL 24510,0,ECON 19800,False
PBPL 24510,1,PBPL 22200,True
PBPL 26200,0,PBPL 26200,True
PBPL 26300,0,PBPL 26200,True
PBPL 26300,1,PBPL 26200,True
PBPL 26530,0,ECON 20000,False
PBPL 26530,1,ECON 20100,False
PBPL 26530,2,PBPL 20000,False
PBPL 26530,3,PBPL 22200,False
PBPL 26530,4,STAT 22000,False
PBPL 26530,5,STAT 23400,False
PBPL 26530,6,PBPL 26400,False
PBPL 26530,7,ECON 20000,True
PBPL 26530,8,ECON 20100,True
PBPL 26531,0,ECON 20000,False
PBPL 26531,1,ECON 20100,False
PBPL 26531,2,PBPL 20000,False
PBPL 26531,3,PBPL 22200,False
PBPL 26531,4,STAT 22000,False
PBPL 26531,5,STAT 23400,False
PBPL 26531,6,PBPL 26400,False
PBPL 26531,7,ECON 20000,True
PBPL 26531,8,ECON 20100,True
PBPL 27040,0,PBPL 20000,False
PBPL 28270,0,ECON 19800,True
PBPL 28270,1,ECON 20000,False
PBPL 28270,2,PBPL 20000,False
PBPL 29000,0,ECON 20100,True
FNDL 21005,0,GREK 20300,False
FNDL 22211,0,FREN 20500,False
AANL 10102,0,AANL 10101,False
AANL 10103,0,AANL 10102,False
AANL 20302,0,AANL 20301,True
AKKD 10102,0,AKKD 10101,False
AKKD 10103,0,AKKD 10102,False
ARAB 10102,0,ARAB 10101,False
ARAB 10103,0,ARAB 10102,False
ARAB 10254,0,ARAB 10102,False
ARAB 20101,0,ARAB 10103,False
ARAB 20102,0,ARAB 20101,False
ARAB 20103,0,ARAB 20102,False
EGPT 10102,0,EGPT 10101,False
EGPT 10103,0,EGPT 10101,True
EGPT 10103,1,EGPT 10102,False
EGPT 20101,0,EGPT 10101,True
EGPT 20101,1,EGPT 10102,True
EGPT 20101,2,EGPT 10103,False
EGPT 20102,0,EGPT 10101,True
EGPT 20102,1,EGPT 10102,True
EGPT 20102,2,EGPT 10103,False
EGPT 20110,0,EGPT 10101,True
EGPT 20110,1,EGPT 10102,True
EGPT 20110,2,EGPT 10103,False
EGPT 20210,0,EGPT 10101,True
EGPT 20210,1,EGPT 10102,True
EGPT 20210,2,EGPT 10103,False
HEBR 10102,0,HEBR 10101,False
HEBR 10502,0,HEBR 10501,False
HEBR 10503,0,HEBR 10502,False
HEBR 20104,0,HEBR 10103,False
HEBR 20105,0,HEBR 20104,False
HEBR 20106,0,HEBR 20105,False
HEBR 20501,0,HEBR 10503,False
HEBR 20502,0,HEBR 20501,False
HEBR 20503,0,HEBR 20502,False
KAZK 10102,0,KAZK 10101,False
KAZK 10103,0,KAZK 10102,False
NEAA 20062,0,NEAA 20061,True
NEAA 20071,0,NEAA 20001,True
NELG 10200,0,MOGK 10100,False
NELG 10200,1,MOGK 30100,False
NELG 10300,0,MOGK 10200,False
NELG 10300,1,MOGK 30200,False
NELG 20100,0,MOGK 10300,False
PERS 20101,0,PERS 10103,False
PERS 20102,0,PERS 20101,False
PERS 20103,0,PERS 20202,False
TURK 20101,0,TURK 10103,False
PHSC 11300,0,PHSC 11100,False
PHSC 12610,0,PHSC 12600,False
PHSC 12610,1,PHSC 12700,True
PHSC 12710,0,PHSC 12600,False
PHSC 18100,0,PHSC 10000,True
PHSC 18200,0,PHSC 10000,True
PHSC 18300,0,PHSC 10000,True
GEOS 13300,0,MATH 13100,True
GEOS 13900,0,GEOS 13900,False
GEOS 13900,1,BIOS 13123,True
GEOS 13900,2,BIOS 10130,True
GEOS 13900,3,PHSC 11000,True
GEOS 13900,4,BIOS 12117,False
GEOS 13900,5,GEOS 13900,False
GEOS 13900,6,NTSC 10300,True
GEOS 13900,7,GEOS 27300,True
GEOS 21000,0,CHEM 11100,True
GEOS 21000,1,CHEM 11200,True
GEOS 21000,2,CHEM 11300,False
GEOS 21005,0,GEOS 21000,False
GEOS 21400,0,MATH 20000,True
GEOS 21400,1,MATH 20100,True
GEOS 21400,2,MATH 20200,True
GEOS 23800,0,CHEM 11100,True
GEOS 23800,1,CHEM 11200,False
GEOS 23805,0,CHEM 11100,True
GEOS 23805,1,CHEM 11200,True
GEOS 23805,2,CHEM 11300,False
GEOS 23805,3,CHEM 13100,True
GEOS 23805,4,CHEM 13200,True
GEOS 23805,5,CHEM 13300,False
GEOS 23900,0,CHEM 11101,True
GEOS 23900,1,CHEM 11201,False
GEOS 24220,0,PHYS 13300,True
GEOS 24240,0,GEOS 24230,False
GEOS 24240,1,PHYS 13100,False
GEOS 24240,2,PHYS 19700,False
GEOS 24240,3,MATH 20000,True
GEOS 24240,4,MATH 20100,True
GEOS 24240,5,MATH 20200,False
GEOS 24250,0,GEOS 24230,True
GEOS 24250,1,GEOS 24240,False
GEOS 26100,0,BIOS 20197,False
GEOS 26300,0,GEOS 13100,True
GEOS 26300,1,GEOS 13200,False
GEOS 26600,0,GEOS 13100,True
GEOS 26600,1,GEOS 13200,True
GEOS 26600,2,GEOS 13300,False
GEOS 26650,0,CHEM 11100,True
GEOS 26650,1,CHEM 11200,True
GEOS 26650,2,BIOS 20186,False
GEOS 26650,3,BIOS 20197,False
GEOS 26905,0,GEOS 13100,True
GEOS 26905,1,GEOS 13200,True
GEOS 26905,2,GEOS 13300,False
GEOS 26905,3,GEOS 20000,True
GEOS 27300,0,GEOS 13900,False
GEOS 27300,1,BIOS 13123,True
GEOS 27300,2,BIOS 10130,True
GEOS 27300,3,PHSC 11000,True
GEOS 27300,4,BIOS 12117,False
GEOS 27300,5,GEOS 13900,False
GEOS 27300,6,NTSC 10300,True
GEOS 27300,7,GEOS 27300,True
GEOS 28100,0,GEOS 13100,False
GEOS 28300,0,GEOS 13100,True
GEOS 28300,1,GEOS 13200,False
GEOS 28300,2,GEOS 23500,True
GEOS 29001,0,GEOS 13100,True
GEOS 29001,1,GEOS 13200,True
MATH 15200,0,MATH 15100,True
MATH 15300,0,MATH 15200,True
MATH 15900,0,MATH 15300,False
MATH 15910,0,MATH 15300,False
MATH 15910,1,MATH 13300,False
MATH 17500,0,MATH 16300,False
MATH 17500,1,MATH 15910,False
MATH 17500,2,MATH 15900,False
MATH 17600,0,MATH 16300,False
MATH 17600,1,MATH 15910,False
MATH 17600,2,MATH 15900,False
MATH 19520,0,MATH 13300,False
MATH 19520,1,MATH 15300,False
MATH 19620,0,MATH 13300,False
MATH 19620,1,MATH 15200,False
MATH 19620,2,MATH 16200,True
MATH 20000,0,MATH 13300,False
MATH 20000,1,MATH 15300,False
MATH 20000,2,MATH 19620,True
MATH 20100,0,MATH 20000,False
MATH 20100,1,MATH 19520,True
MATH 20250,0,MATH 16300,False
MATH 20250,1,MATH 15910,False
MATH 20250,2,MATH 15900,False
MATH 20300,0,MATH 16300,False
MATH 20300,1,MATH 15910,False
MATH 20300,2,MATH 15900,False
MATH 20400,0,MATH 20250,False
MATH 20500,0,MATH 20400,False
MATH 21100,0,MATH 20000,False
MATH 21100,1,MATH 20250,False
MATH 21200,0,MATH 20500,False
MATH 23500,0,STAT 25100,False
MATH 23500,1,STAT 25150,False
MATH 23500,2,STAT 24400,False
MATH 23500,3,MATH 20500,False
MATH 23500,4,MATH 20900,True
MATH 24100,0,MATH 25500,False
MATH 24200,0,MATH 25500,False
MATH 24300,0,MATH 25500,False
MATH 24300,1,MATH 25800,False
MATH 24400,0,MATH 20500,False
MATH 24400,1,MATH 25500,False
MATH 25400,0,MATH 20250,False
MATH 25500,0,MATH 25400,False
MATH 25700,0,MATH 20700,False
MATH 25700,1,MATH 20250,True
MATH 26200,0,MATH 20300,False
MATH 26200,1,MATH 20700,True
MATH 26200,2,MATH 25400,False
