,course_code,words
0,PBPL 20000,quarters
1,PBPL 20000,markets
2,PBPL 20000,under
3,PBPL 20000,choices
4,PBPL 20000,consent
5,PBPL 20000,prerequisite
6,PBPL 20000,application
7,PBPL 20000,along
8,PBPL 20000,econ
9,PBPL 20000,two
10,PBPL 20000,demonstrates
11,PBPL 20000,required
12,PBPL 20000,staff
13,PBPL 20000,completion
14,PBPL 20000,develops
15,PBPL 20000,producer
16,PBPL 20000,economics
17,PBPL 20000,satisfies
18,PBPL 20000,theoretical
19,PBPL 20000,knowledge
20,PBPL 20000,policy
21,PBPL 20000,all
22,PBPL 20000,government
23,PBPL 20000,efficiency
24,PBPL 20000,theories
25,PBPL 20000,enroll
26,PBPL 20000,who
27,PBPL 20000,shaikh
28,PBPL 20000,taken
29,PBPL 20000,conditions
30,PBPL 20000,competitive
31,PBPL 20000,prior
32,PBPL 20000,microeconomic
33,PBPL 20000,examined
34,PBPL 20000,increase
35,PBPL 20000,supply
36,PBPL 20000,calculus
37,PBPL 20000,demand
38,PBPL 20000,majoring
39,PBPL 20000,public
40,PBPL 20000,consumer
41,PBPL 20000,majors
42,PBPL 20000,can
43,PBPL 20000,pbpl
44,PBPL 20000,well
45,PBPL 20000,problems
46,PBPL 20000,require
47,PBPL 20000,tools
48,PBPL 20305,outcomes
49,PBPL 20305,children
50,PBPL 20305,inequality
51,PBPL 20305,school
52,PBPL 20305,environments
53,PBPL 20305,explore
54,PBPL 20305,equal
55,PBPL 20305,issue
56,PBPL 20305,affected
57,PBPL 20305,divergent
58,PBPL 20305,given
59,PBPL 20305,spaces
60,PBPL 20305,affecting
61,PBPL 20305,low
62,PBPL 20305,educational
63,PBPL 20305,keels
64,PBPL 20305,class
65,PBPL 20305,any
66,PBPL 20305,chicago
67,PBPL 20305,equivalent
68,PBPL 20305,neighborhood
69,PBPL 20305,family
70,PBPL 20305,tackle
71,PBPL 20305,confronting
72,PBPL 20305,opportunities
73,PBPL 20305,shape
74,PBPL 20305,middle
75,PBPL 20305,one
76,PBPL 20305,reside
77,PBPL 20305,characteristics
78,PBPL 20305,emphasis
79,PBPL 20305,cres
80,PBPL 20305,economic
81,PBPL 20305,focus
82,PBPL 20305,schools
83,PBPL 20305,income
84,PBPL 20305,conditions
85,PBPL 20305,urban
86,PBPL 20305,intersect
87,PBPL 20305,important
88,PBPL 20305,distribution
89,PBPL 20305,political
90,PBPL 20305,thus
91,PBPL 20305,chdv
92,PBPL 20305,bound
93,PBPL 20305,pbpl
94,PBPL 20305,issues
95,PBPL 20305,race
96,PBPL 20305,residing
97,PBPL 20305,residents
98,PBPL 20305,ways
99,PBPL 20305,problems
100,PBPL 21800,basic
101,PBPL 21800,biodiversity
102,PBPL 21800,combines
103,PBPL 21800,policies
104,PBPL 21800,conservation
105,PBPL 21800,prerequisite
106,PBPL 21800,benefit
107,PBPL 21800,higher
108,PBPL 21800,species
109,PBPL 21800,risk
110,PBPL 21800,cost
111,PBPL 21800,decisions
112,PBPL 21800,endangered
113,PBPL 21800,econ
114,PBPL 21800,analysis
115,PBPL 21800,analyze
116,PBPL 21800,nonrenewable
117,PBPL 21800,equivalent
118,PBPL 21800,recycling
119,PBPL 21800,economics
120,PBPL 21800,assessment
121,PBPL 21800,externalities
122,PBPL 21800,change
123,PBPL 21800,theoretical
124,PBPL 21800,waste
125,PBPL 21800,policy
126,PBPL 21800,goods
127,PBPL 21800,use
128,PBPL 21800,energy
129,PBPL 21800,points
130,PBPL 21800,economic
131,PBPL 21800,global
132,PBPL 21800,shaikh
133,PBPL 21800,property
134,PBPL 21800,climate
135,PBPL 21800,contemporary
136,PBPL 21800,microeconomic
137,PBPL 21800,resources
138,PBPL 21800,impacts
139,PBPL 21800,environmental
140,PBPL 21800,environment
141,PBPL 21800,pollution
142,PBPL 21800,controversies
143,PBPL 21800,llso
144,PBPL 21800,public
145,PBPL 21800,management
146,PBPL 21800,valuing
147,PBPL 21800,theory
148,PBPL 21800,examine
149,PBPL 21800,equity
150,PBPL 21800,pbpl
151,PBPL 21800,enst
152,PBPL 21800,issues
153,PBPL 21800,growth
154,PBPL 21800,congestion
155,PBPL 21800,tools
156,PBPL 21800,common
157,PBPL 22100,democracy
158,PBPL 22100,examining
159,PBPL 22100,fundamental
160,PBPL 22100,aims
161,PBPL 22100,generate
162,PBPL 22100,first
163,PBPL 22100,two
164,PBPL 22100,politics
165,PBPL 22100,second
166,PBPL 22100,any
167,PBPL 22100,states
168,PBPL 22100,policy
169,PBPL 22100,concepts
170,PBPL 22100,institutions
171,PBPL 22100,may
172,PBPL 22100,taken
173,PBPL 22100,order
174,PBPL 22100,introduce
175,PBPL 22100,united
176,PBPL 22100,apply
177,PBPL 22100,public
178,PBPL 22100,major
179,PBPL 22100,political
180,PBPL 22100,understanding
181,PBPL 22100,pbpl
182,PBPL 22100,set
183,PBPL 22100,berry
184,PBPL 22100,analytical
185,PBPL 22100,tools
186,PBPL 22200,basic
187,PBPL 22200,potential
188,PBPL 22200,arrange
189,PBPL 22200,leitzel
190,PBPL 22200,markets
191,PBPL 22200,results
192,PBPL 22200,reviews
193,PBPL 22200,prerequisite
194,PBPL 22200,those
195,PBPL 22200,should
196,PBPL 22200,director
197,PBPL 22200,econ
198,PBPL 22200,arguments
199,PBPL 22200,when
200,PBPL 22200,unsatisfactory
201,PBPL 22200,goal
202,PBPL 22200,analysis
203,PBPL 22200,meet
204,PBPL 22200,rationale
205,PBPL 22200,any
206,PBPL 22200,suggesting
207,PBPL 22200,respond
208,PBPL 22200,program
209,PBPL 22200,economics
210,PBPL 22200,likely
211,PBPL 22200,policy
212,PBPL 22200,alternative
213,PBPL 22200,government
214,PBPL 22200,microeconomics
215,PBPL 22200,courses
216,PBPL 22200,augments
217,PBPL 22200,developed
218,PBPL 22200,who
219,PBPL 22200,situations
220,PBPL 22200,may
221,PBPL 22200,taken
222,PBPL 22200,allow
223,PBPL 22200,order
224,PBPL 22200,advanced
225,PBPL 22200,formulating
226,PBPL 22200,private
227,PBPL 22200,intervention
228,PBPL 22200,produce
229,PBPL 22200,planning
230,PBPL 22200,majoring
231,PBPL 22200,public
232,PBPL 22200,administrator
233,PBPL 22200,examine
234,PBPL 22200,pbpl
235,PBPL 22200,intended
236,PBPL 22200,specialize
237,PBPL 22200,comprehend
238,PBPL 22200,applies
239,PBPL 22200,problems
240,PBPL 22200,evaluating
241,PBPL 22200,tools
242,PBPL 22200,develop
243,PBPL 22300,challenge
244,PBPL 22300,year
245,PBPL 22300,prevailing
246,PBPL 22300,dilemmas
247,PBPL 22300,attempts
248,PBPL 22300,recommended
249,PBPL 22300,day
250,PBPL 22300,obstacles
251,PBPL 22300,out
252,PBPL 22300,effect
253,PBPL 22300,broughton
254,PBPL 22300,prerequisite
255,PBPL 22300,first
256,PBPL 22300,studies
257,PBPL 22300,when
258,PBPL 22300,designers
259,PBPL 22300,required
260,PBPL 22300,dropped
261,PBPL 22300,focused
262,PBPL 22300,class
263,PBPL 22300,second
264,PBPL 22300,functions
265,PBPL 22300,any
266,PBPL 22300,established
267,PBPL 22300,implementation
268,PBPL 22300,crime
269,PBPL 22300,movements
270,PBPL 22300,understandings
271,PBPL 22300,program
272,PBPL 22300,opportunities
273,PBPL 22300,states
274,PBPL 22300,policy
275,PBPL 22300,once
276,PBPL 22300,process
277,PBPL 22300,government
278,PBPL 22300,actors
279,PBPL 22300,carried
280,PBPL 22300,non
281,PBPL 22300,there
282,PBPL 22300,education
283,PBPL 22300,poverty
284,PBPL 22300,may
285,PBPL 22300,taken
286,PBPL 22300,grapple
287,PBPL 22300,attendance
288,PBPL 22300,order
289,PBPL 22300,registration
290,PBPL 22300,evaluation
291,PBPL 22300,united
292,PBPL 22300,cases
293,PBPL 22300,standing
294,PBPL 22300,governmental
295,PBPL 22300,makers
296,PBPL 22300,emerge
297,PBPL 22300,case
298,PBPL 22300,pbpl
299,PBPL 22300,intended
300,PBPL 22300,put
301,PBPL 22300,well
302,PBPL 22300,ways
303,PBPL 22300,bureaucracy
304,PBPL 22300,getting
305,PBPL 22300,drawing
306,PBPL 22300,hammond
307,PBPL 22300,explores
308,PBPL 22300,common
309,PBPL 23000,recent
310,PBPL 23000,prisons
311,PBPL 23000,relationships
312,PBPL 23000,communication
313,PBPL 23000,conceived
314,PBPL 23000,effectiveness
315,PBPL 23000,explore
316,PBPL 23000,empirical
317,PBPL 23000,neoinstitutional
318,PBPL 23000,analysis
319,PBPL 23000,soci
320,PBPL 23000,about
321,PBPL 23000,using
322,PBPL 23000,questions
323,PBPL 23000,associations
324,PBPL 23000,interorganizational
325,PBPL 23000,equivalent
326,PBPL 23000,organizations
327,PBPL 23000,professional
328,PBPL 23000,goals
329,PBPL 23000,systematic
330,PBPL 23000,implications
331,PBPL 23000,change
332,PBPL 23000,theoretical
333,PBPL 23000,developments
334,PBPL 23000,health
335,PBPL 23000,making
336,PBPL 23000,care
337,PBPL 23000,organizational
338,PBPL 23000,theories
339,PBPL 23000,economic
340,PBPL 23000,modern
341,PBPL 23000,introduction
342,PBPL 23000,authority
343,PBPL 23000,voluntary
344,PBPL 23000,intraorganizational
345,PBPL 23000,work
346,PBPL 23000,private
347,PBPL 23000,market
348,PBPL 23000,economy
349,PBPL 23000,governmental
350,PBPL 23000,public
351,PBPL 23000,political
352,PBPL 23000,understanding
353,PBPL 23000,societies
354,PBPL 23000,broadly
355,PBPL 23000,pbpl
356,PBPL 23000,decision
357,PBPL 23000,laumann
358,PBPL 23100,year
359,PBPL 23100,federal
360,PBPL 23100,evolution
361,PBPL 23100,lodato
362,PBPL 23100,fourth
363,PBPL 23100,consent
364,PBPL 23100,policies
365,PBPL 23100,background
366,PBPL 23100,development
367,PBPL 23100,prerequisite
368,PBPL 23100,regulations
369,PBPL 23100,response
370,PBPL 23100,traditional
371,PBPL 23100,impact
372,PBPL 23100,second
373,PBPL 23100,third
374,PBPL 23100,equivalent
375,PBPL 23100,structures
376,PBPL 23100,address
377,PBPL 23100,local
378,PBPL 23100,explosive
379,PBPL 23100,national
380,PBPL 23100,institutions
381,PBPL 23100,lecture
382,PBPL 23100,legal
383,PBPL 23100,century
384,PBPL 23100,advance
385,PBPL 23100,urban
386,PBPL 23100,laws
387,PBPL 23100,environmental
388,PBPL 23100,environment
389,PBPL 23100,llso
390,PBPL 23100,challenges
391,PBPL 23100,standing
392,PBPL 23100,twentieth
393,PBPL 23100,discussion
394,PBPL 23100,pbpl
395,PBPL 23100,examines
396,PBPL 23100,law
397,PBPL 23100,half
398,PBPL 23100,enst
399,PBPL 23100,regulation
400,PBPL 23100,growth
401,PBPL 23100,problems
402,PBPL 23100,common
403,PBPL 23200,wide
404,PBPL 23200,behavior
405,PBPL 23200,prisons
406,PBPL 23200,markets
407,PBPL 23200,drugs
408,PBPL 23200,role
409,PBPL 23200,optimal
410,PBPL 23200,recommended
411,PBPL 23200,inequality
412,PBPL 23200,prerequisite
413,PBPL 23200,gang
414,PBPL 23200,levitt
415,PBPL 23200,punishment
416,PBPL 23200,econ
417,PBPL 23200,empirical
418,PBPL 23200,emphasize
419,PBPL 23200,criminal
420,PBPL 23200,analysis
421,PBPL 23200,analyze
422,PBPL 23200,required
423,PBPL 23200,stat
424,PBPL 23200,uses
425,PBPL 23200,capital
426,PBPL 23200,equivalent
427,PBPL 23200,crime
428,PBPL 23200,economics
429,PBPL 23200,related
430,PBPL 23200,theoretical
431,PBPL 23200,policy
432,PBPL 23200,police
433,PBPL 23200,range
434,PBPL 23200,guns
435,PBPL 23200,economic
436,PBPL 23200,macroeconomy
437,PBPL 23200,income
438,PBPL 23200,labor
439,PBPL 23200,strongly
440,PBPL 23200,public
441,PBPL 23200,pbpl
442,PBPL 23200,issues
443,PBPL 23200,tools
444,PBPL 23600,forms
445,PBPL 23600,networks
446,PBPL 23600,sciences
447,PBPL 23600,empires
448,PBPL 23600,outcomes
449,PBPL 23600,democratic
450,PBPL 23600,prerequisite
451,PBPL 23600,clemens
452,PBPL 23600,within
453,PBPL 23600,surveys
454,PBPL 23600,formal
455,PBPL 23600,politics
456,PBPL 23600,soci
457,PBPL 23600,ordering
458,PBPL 23600,participation
459,PBPL 23600,historically
460,PBPL 23600,processes
461,PBPL 23600,associations
462,PBPL 23600,significant
463,PBPL 23600,nation
464,PBPL 23600,completion
465,PBPL 23600,equivalent
466,PBPL 23600,family
467,PBPL 23600,civic
468,PBPL 23600,movements
469,PBPL 23600,sociology
470,PBPL 23600,mobilization
471,PBPL 23600,states
472,PBPL 23600,policy
473,PBPL 23600,emergence
474,PBPL 23600,globalization
475,PBPL 23600,shape
476,PBPL 23600,non
477,PBPL 23600,institutions
478,PBPL 23600,education
479,PBPL 23600,may
480,PBPL 23600,patterns
481,PBPL 23600,general
482,PBPL 23600,feedback
483,PBPL 23600,reorder
484,PBPL 23600,relations
485,PBPL 23600,both
486,PBPL 23600,political
487,PBPL 23600,occur
488,PBPL 23600,considers
489,PBPL 23600,pbpl
490,PBPL 23600,enst
491,PBPL 23600,particularly
492,PBPL 23600,well
493,PBPL 23600,requirement
494,PBPL 23600,transnational
495,PBPL 23600,explores
496,PBPL 24000,city
497,PBPL 24000,designed
498,PBPL 24000,series
499,PBPL 24000,learning
500,PBPL 24000,impacted
501,PBPL 24000,represent
502,PBPL 24000,explore
503,PBPL 24000,neighborhoods
504,PBPL 24000,observe
505,PBPL 24000,geog
506,PBPL 24000,analysis
507,PBPL 24000,diversity
508,PBPL 24000,about
509,PBPL 24000,exercises
510,PBPL 24000,particular
511,PBPL 24000,chicago
512,PBPL 24000,equivalent
513,PBPL 24000,neighborhood
514,PBPL 24000,fieldwork
515,PBPL 24000,knowledge
516,PBPL 24000,engage
517,PBPL 24000,experience
518,PBPL 24000,readings
519,PBPL 24000,talen
520,PBPL 24000,applied
521,PBPL 24000,significance
522,PBPL 24000,form
523,PBPL 24000,interpret
524,PBPL 24000,focus
525,PBPL 24000,economic
526,PBPL 24000,sosc
527,PBPL 24000,contemporary
528,PBPL 24000,impacts
529,PBPL 24000,dimensions
