,descriptions,must_take,program_name,track,elective
Biological Sciences:advanced biology,"['MAJOR', 'All of the following:', 'Five courses above BIOS\xa020242 in Biological Sciences']","CHEM 11300,PHYS 12100-12200,BIOS 20234,BIOS 20235,BIOS 20236,BIOS 20200,BIOS 20242,BIOS 20242",Biological Sciences, major requirements: advanced biology*,BIOS 26210
Biological Sciences:advanced biology,"['MAJOR', 'All of the following:', 'Five courses above BIOS\xa020242 in Biological Sciences']","CHEM 11300,PHYS 12100-12200,BIOS 20234,BIOS 20235,BIOS 20236,BIOS 20200,BIOS 20242,BIOS 20242",Biological Sciences, major requirements: advanced biology*,PHYS 12300
Biological Sciences:advanced biology,"['MAJOR', 'All of the following:', 'Five courses above BIOS\xa020242 in Biological Sciences']","CHEM 11300,PHYS 12100-12200,BIOS 20234,BIOS 20235,BIOS 20236,BIOS 20200,BIOS 20242,BIOS 20242",Biological Sciences, major requirements: advanced biology*,STAT 22000
Biological Sciences:advanced biology,"['MAJOR', 'All of the following:', 'Five courses above BIOS\xa020242 in Biological Sciences']","CHEM 11300,PHYS 12100-12200,BIOS 20234,BIOS 20235,BIOS 20236,BIOS 20200,BIOS 20242,BIOS 20242",Biological Sciences, major requirements: advanced biology*,CHEM 22000-22100
Biological Sciences:advanced biology,"['MAJOR', 'All of the following:', 'Five courses above BIOS\xa020242 in Biological Sciences']","CHEM 11300,PHYS 12100-12200,BIOS 20234,BIOS 20235,BIOS 20236,BIOS 20200,BIOS 20242,BIOS 20242",Biological Sciences, major requirements: advanced biology*,CHEM 23000-23100
Biological Sciences:track A,"['MAJOR', 'All of the following:', 'Five courses above BIOS\xa020242 in Biological Sciences']","CHEM 11300,PHYS 12100-12200,BIOS 20186,BIOS 20187,BIOS 20188,BIOS 20190,BIOS 20200,BIOS 20242",Biological Sciences,Biological Sciences:track A,BIOS 26210
Biological Sciences:track A,"['MAJOR', 'All of the following:', 'Five courses above BIOS\xa020242 in Biological Sciences']","CHEM 11300,PHYS 12100-12200,BIOS 20186,BIOS 20187,BIOS 20188,BIOS 20190,BIOS 20200,BIOS 20242",Biological Sciences,Biological Sciences:track A,PHYS 12300
Biological Sciences:track A,"['MAJOR', 'All of the following:', 'Five courses above BIOS\xa020242 in Biological Sciences']","CHEM 11300,PHYS 12100-12200,BIOS 20186,BIOS 20187,BIOS 20188,BIOS 20190,BIOS 20200,BIOS 20242",Biological Sciences,Biological Sciences:track A,STAT 22000
Biological Sciences:track A,"['MAJOR', 'All of the following:', 'Five courses above BIOS\xa020242 in Biological Sciences']","CHEM 11300,PHYS 12100-12200,BIOS 20186,BIOS 20187,BIOS 20188,BIOS 20190,BIOS 20200,BIOS 20242",Biological Sciences,Biological Sciences:track A,CHEM 22000-22100
Biological Sciences:track A,"['MAJOR', 'All of the following:', 'Five courses above BIOS\xa020242 in Biological Sciences']","CHEM 11300,PHYS 12100-12200,BIOS 20186,BIOS 20187,BIOS 20188,BIOS 20190,BIOS 20200,BIOS 20242",Biological Sciences,Biological Sciences:track A,CHEM 23000-23100
