,Requirement 1,Requirement 2,Requirement 3,Requirement 4,Requirement 5,Requirement 6,Requirement 7,Requirement 8,Requirement 9
sample minor program in cinema and media studies,CMST 10100,CMST 28500,CMST 28600,CMST 23404,CMST 24701,CMST 25201,,,
minor program in environmental studies,ENST 21201,ENST 21301,,,,,,,
Philosophy,check electives,,,,,,,,
minor program in physics,PHYS 15400,PHYS 18500,PHYS 22100,PHYS 23400,,,,,
Astronomy and Astrophysics,ASTR 12700,ASTR 12710,ASTR 12720,ASTR 18100,ASTR 18200,,,,
minor in statistics,check electives,,,,,,,,
Statistics,check electives,,,,,,,,
minor program in music,check electives,,,,,,,,
minor in catalan,check electives,,,,,,,,
minor in french,FREN 20500,,,,,,,,
minor in italian,ITAL 20400,,,,,,,,
minor in portuguese,PORT 21500,,,,,,,,
minor in spanish,check electives,,,,,,,,
minor in human rights,check electives,,,,,,,,
minor program in latin american studies,check electives,,,,,,,,
Comparative Race and Ethnic Studies,CRES 29800,CRES 29900,,,,,,,
sample cres minor specializing in african american studies,CRES 16101,CRES 16102,CRES 21201,CRES 21806,CRES 22150,CRES 24601,CRES 25102,,
minor program in linguistics,LING 20001,LING 20101,LING 20201,LING 20301,,,,,
minor in computational neuroscience,BIOS 24203,BIOS 24204,BIOS 24205,BIOS 24208,BIOS 24246,BIOS 24247,PSYC 20300,PSYC 20400,PSYC 20700
"minor program in history, philosophy, and social studies of science and medicine",check electives,,,,,,,,
minor program in gender and sexuality studies,GNSE 10310,,,,,,,,
minor program in the biological sciences,BIOS 24231,BIOS 24232,BIOS 24408,BIOS 26210-26211,,,,,
minor program in computational neuroscience,BIOS 24231,BIOS 24232,BIOS 24408,BIOS 26210-26211,,,,,
minor program in medieval studies,check electives,,,,,,,,
germanic studies sample minor,NORW 10400,NORW 10500,,,,,,,
Near Eastern Languages and Civilizations:language track sample minor,AKKD 10101-10102-10103,NEHC 20001-20002-20003,,,,,,,
Near Eastern Languages and Civilizations:language track sample minor,ARAB 20101-20102-20103,NEHC 20601-20602-20603,,,,,,,
Near Eastern Languages and Civilizations:culture track sample minor,NEHC 20011-20012-20013,NEHC 20004-20005-20006,,,,,,,
minor in russian and east european studies,check electives,,,,,,,,
minor in architectural studies,check electives,,,,,,,,
minor in molecular engineering,MENG 26010,MENG 26030,MENG 26201,,,,,,
salc sample minors,SALC 20700,BANG 10100-10200-10300,SALC 20701,SALC 23900,,,,,
minor in visual arts,ARTV 15000,,,,,,,,
