,track,program_name,must_take,elective
Astronomy and Astrophysics,Sample Program for the Minor,Astronomy and Astrophysics,"ASTR 12700,ASTR 12710,ASTR 12720,ASTR 18100,ASTR 18200",No electives
Comparative Race and Ethnic Studies,D. Requirements for the Major and the Minor,Comparative Race and Ethnic Studies,"CRES 29800,CRES 29900",No electives
Near Eastern Languages and Civilizations:culture track sample minor,Culture Track Sample Minor,Near Eastern Languages and Civilizations,"NEHC 20011-20012-20013,NEHC 20004-20005-20006",No electives
Near Eastern Languages and Civilizations:language track sample minor,Language Track Sample Minor,Near Eastern Languages and Civilizations,"AKKD 10101-10102-10103,NEHC 20001-20002-20003",No electives
Near Eastern Languages and Civilizations:language track sample minor,Language Track Sample Minor,Near Eastern Languages and Civilizations,"AKKD 10101-10102-10103,NEHC 20001-20002-20003",No electives
Near Eastern Languages and Civilizations:language track sample minor,Language Track Sample Minor,Near Eastern Languages and Civilizations,"ARAB 20101-20102-20103,NEHC 20601-20602-20603",No electives
Near Eastern Languages and Civilizations:language track sample minor,Language Track Sample Minor,Near Eastern Languages and Civilizations,"ARAB 20101-20102-20103,NEHC 20601-20602-20603",No electives
Philosophy,Samples follow of two groups of courses that would comprise a minor:,Philosophy,check electives,PHIL 25000
Philosophy,Samples follow of two groups of courses that would comprise a minor:,Philosophy,check electives,PHIL 26000
Philosophy,Samples follow of two groups of courses that would comprise a minor:,Philosophy,check electives,PHIL 27000
Statistics,Electives Approved for the Minor in Statistics1,Statistics,check electives,STAT 22200
Statistics,Electives Approved for the Minor in Statistics1,Statistics,check electives,STAT 22600
Statistics,Electives Approved for the Minor in Statistics1,Statistics,check electives,STAT 22700
Statistics,Electives Approved for the Minor in Statistics1,Statistics,check electives,STAT 22810
Statistics,Electives Approved for the Minor in Statistics1,Statistics,check electives,STAT 24610
Statistics,Electives Approved for the Minor in Statistics1,Statistics,check electives,STAT 26100
Statistics,Electives Approved for the Minor in Statistics1,Statistics,check electives,STAT 26700
Statistics,Electives Approved for the Minor in Statistics1,Statistics,check electives,STAT 27400
Statistics,Electives Approved for the Minor in Statistics1,Statistics,check electives,STAT 27850
Statistics,Electives Approved for the Minor in Statistics1,Statistics,check electives,STAT 31900
Statistics,Electives Approved for the Minor in Statistics1,Statistics,check electives,STAT 33100
Statistics,Electives Approved for the Minor in Statistics1,Statistics,check electives,STAT 35201
Statistics,Electives Approved for the Minor in Statistics1,Statistics,check electives,STAT 35600
Statistics,Electives Approved for the Minor in Statistics1,Statistics,check electives,STAT 35700
Statistics,Electives Approved for the Minor in Statistics1,Statistics,check electives,STAT 35800
Statistics,Electives Approved for the Minor in Statistics1,Statistics,check electives,STAT 36900
Statistics,Electives Approved for the Minor in Statistics1,Statistics,check electives,STAT 37601
Statistics,Electives Approved for the Minor in Statistics1,Statistics,check electives,BIOS 21216
Statistics,Electives Approved for the Minor in Statistics1,Statistics,check electives,PBHS 33200
Statistics,Electives Approved for the Minor in Statistics1,Statistics,check electives,PBHS 33400
Statistics,Electives Approved for the Minor in Statistics1,Statistics,check electives,PBHS 35100
Statistics,Electives Approved for the Minor in Statistics1,Statistics,check electives,PBHS 40500
Statistics,Electives Approved for the Minor in Statistics1,Statistics,check electives,SOCI 20112
germanic studies sample minor,Germanic Studies Sample Minor,Germanic Studies,"NORW 10400,NORW 10500",No electives
minor in architectural studies,Summary of Requirements for the Minor in Architectural Studies,Art History,check electives,No electives
minor in catalan,Summary of Requirements: Minor in Catalan,Romance Languages and Literatures,check electives,CATA 21600
minor in catalan,Summary of Requirements: Minor in Catalan,Romance Languages and Literatures,check electives,CATA 21900
