,program,course_title,course_unit,equivalent_courses,instructors,notes
CRWR 10200,Creative Writing,Beginning Fiction Workshop,100,CRWR 30200,,Attendance on the first day is mandatory.
CRWR 10205,Creative Writing,Fundamentals of Fiction,100,CRWR 30205,,Attendance on the first day is mandatory.
CRWR 10255,Creative Writing,Fundamentals of Fiction: CW Track,100,CRWR 30255,,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu.
CRWR 10300,Creative Writing,Beginning Poetry Workshop,100,CRWR 30300,,Attendance on the first day is mandatory.
CRWR 10305,Creative Writing,Fundamentals of Poetry,100,CRWR 30305,,Attendance on the first day is mandatory.
CRWR 10400,Creative Writing,Beginning Creative Nonfiction,100,CRWR 30400,,Attendance on the first day is mandatory.
CRWR 10405,Creative Writing,Fundamentals of Nonfiction,100,CRWR 30405,,Attendance on the first day is mandatory.
CRWR 12000,Creative Writing,Intermediate Fiction Workshop,100,CRWR 32000,,Attendance on the first day is mandatory.
CRWR 12012,Creative Writing,Special Topics in Fiction: World-Building,100,CRWR 32012,,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
CRWR 12014,Creative Writing,Special Topics in Fiction: Not Your Native Language,100,CRWR 42014,Rachel DeWoskin,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
CRWR 12017,Creative Writing,Special Topics in Fiction: The Short Story in Context,100,CRWR 32017,Will Boast,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
CRWR 12018,Creative Writing,Special Topics in Fiction: The Young Adult Novel,100,CRWR 32018,Michelle Falkoff,Instructor consent required. Submit writing sample via www.creativewriting.uchicago.edu. Attendance on the first day is mandatory.
CRWR 12020,Creative Writing,Special Topics in Fiction: Literary Horror,100,CRWR 32020,Brian Booker,
CRWR 12101,Creative Writing,Reading as a Writer: Chicago Stories,100,,,This course meets the general education requirement in the arts.
CRWR 12102,Creative Writing,Introduction to Genres: Writing and Performance,100,,,This course meets the general education requirement in the arts. Attendance on the first day is mandatory.
CRWR 12103,Creative Writing,Reading as a Writer,100,,John Wilkinson,This course meets the general education requirement in the arts. Attendance on the first day is mandatory.
