,Requirement 1,Requirement 2,Requirement 3,Requirement 4,Requirement 5,Requirement 6,Requirement 7,Requirement 8,Requirement 9,Requirement 10
major in neuroscience,CHEM 11300,PHYS 12100-12200,STAT 22000,BIOS 24203,BIOS 24204,BIOS 24205,PSYC 20700,NSCI 20100,,
cinema and media studies,CMST 10100,CMST 28500-28600,,,,,,,,
bs in environmental science,ENSC 13300,ENSC 23800,ENSC 23900,ENSC 24400,CHEM 11300,CHEM 12300,,,,
history,HIST 29801-29802,,,,,,,,,
environmental studies,ENST 21201,ENST 21301,STAT 22000,ENST 29801,,,,,,
Philosophy,PHIL 20100,,,,,,,,,
Philosophy: intensive track,PHIL 20100,PHIL 29200,PHIL 29300,PHIL 29601,PHIL 29901,,,,,
philosophy and allied fields,PHIL 20100,,,,,,,,,
public policy studies,PBPL 26400,PBPL 22100,ECON 20000,PBPL 20000,STAT 22000,STAT 23400,PBPL 26200-26300,PBPL 29800,,
comparative literature,CMLT 29801,,,,,,,,,
physics,PHYS 15400,PHYS 18500,PHYS 23400-23500,PHYS 21101-21102-21103,PHYS 22500-22700,PHYS 19700,,,,
anthropology,ANTH 21107,,,,,,,,,
biological chemistry,MATH 20000-20100,CHEM 20100,PHYS 12100-12200-12300,CHEM 26100-26200,CHEM 26700,BIOS 20200,BIOS 21317,,,
Comparative Human Development,CHDV 20000,CHDV 20100,,,,,,,,
ba in chemistry,MATH 20000-20100,PHYS 13100-13200-13300,CHEM 20100-20200,CHEM 23300,CHEM 26100-26200-26300,CHEM 26700,,,,
bs in chemistry,MATH 20000-20100,PHYS 13100-13200-13300,CHEM 20100-20200,CHEM 23300,CHEM 26100-26200-26300,CHEM 26700,,,,
ba in geophysical sciences,GEOS 13100,CHEM 11300,CHEM 12300,,,,,,,
bs in geophysical sciences,GEOS 21000,GEOS 21100,GEOS 21200,GEOS 21205,GEOS 28000,GEOS 28100,MATH 20000,PHYS 18500,PHYS 22500,STAT 23400
Political Science: Students Meeting the Writing Requirement with a Long Paper,PLSC 22913,PLSC 29800,PLSC 29900,,,,,,,
Political Science: Students Meeting the Writing Requirement with a BA Thesis,PLSC 22913,PLSC 29800,PLSC 29900,,,,,,,
ba in statistics,check electives,,,,,,,,,
bs in statistics,check electives,,,,,,,,,
economics,MATH 19520,MATH 20400,MATH 19620,MATH 20250,STAT 23400,STAT 24400,,,,
computational and applied mathematics,CMSC 27100,CMSC 27200,MATH 27300,STAT 24400-24500,STAT 28000,,,,,
fundamentals: issues and texts,FNDL 29901,FNDL 29902,,,,,,,,
music,MUSI 15100-15200-15300,MUSI 23300,MUSI 27100-27200-27300,MUSI 28500,,,,,,
east asian languages and civilizations,EALC 27105,,,,,,,,,
Romance Languages and Literatures: french,FREN 20500,FREN 21503,,,,,,,,
Romance Languages and Literatures: italian,ITAL 20400,,,,,,,,,
Romance Languages and Literatures: spanish,SPAN 21500,,,,,,,,,
romance languages and literatures,FREN 21503,SPAN 21500,,,,,,,,
romance languages and literatures,check electives,,,,,,,,,
"law, letters, and society",LLSO 24200,,,,,,,,,
geographical studies,GEOG 20000,GEOG 28201,GEOG 29800,,,,,,,
english language and literature,check electives,,,,,,,,,
sociology,SOCI 20004,SOCI 29998,,,,,,,,
interdisciplinary studies in the humanities,ISHU 29802,ISHU 29900,,,,,,,,
linguistics,LING 20001,LING 20101,LING 20201,LING 20301,,,,,,
Computer Science,check electives,,,,,,,,,
jewish studies,check electives,,,,,,,,,
"history, philosophy, and social studies of science and medicine",HIPS 29700,HIPS 29800,HIPS 29900,HIPS 29810,,,,,,
path a: gender and sexuality studies interdisciplinary major,GNSE 10310,GNSE 29800,GNSE 29900,,,,,,,
path b: gender and sexuality studies disciplinary major,GNSE 10310,,,,,,,,,
Biological Sciences:advanced biology,CHEM 11300,PHYS 12100-12200,BIOS 20234,BIOS 20235,BIOS 20236,BIOS 20200,BIOS 20242,BIOS 20242,,
Biological Sciences:track A,CHEM 11300,PHYS 12100-12200,BIOS 20186,BIOS 20187,BIOS 20188,BIOS 20190,BIOS 20200,BIOS 20242,,
Biological Sciences:track B,CHEM 11300,PHYS 12100-12200,BIOS 20186,BIOS 20187,BIOS 20189,BIOS 20200,BIOS 20191,BIOS 20242,BIOS 20242,
Biological Sciences:track C,BIOS 25310,BIOS 25326,BIOS 25327,,,,,,,
medieval studies,check electives,,,,,,,,,
theater and performance studies,TAPS 29800,,,,,,,,,
germanic studies,GRMN 29900,,,,,,,,,
Classical Studies: language and literature variant,CLCV 29800,,,,,,,,,
Classical Studies: language intensive variant,CLCV 29800,,,,,,,,,
Classical Studies: greek and roman cultures variant,CLCV 29800,,,,,,,,,
near eastern languages and civilizations,NEHC 29800,,,,,,,,,
religious studies,RLST 10100,RLST 29800,RLST 29900,,,,,,,
major in russian and east european studies,check electives,,,,,,,,,
mathematics ba,MATH 20250,,,,,,,,,
mathematics bs,MATH 20250,,,,,,,,,
bs in applied mathematics,MATH 20250,,,,,,,,,
bs in mathematics with specialization in economics,MATH 26200,MATH 26300,MATH 31700,MATH 31800,MATH 31900,,,,,
art history MAJOR: TRACK I,ARTH 29600,ARTH 29800,,,,,,,,
art history MAJOR: TRACK II,ARTH 29600,ARTH 29800,,,,,,,,
international studies,INST 29800,INST 29801,,,,,,,,
global studies,GLST 23101-23102,GLST 29800,GLST 29801,,,,,,,
major in molecular engineering -- chemical & soft materials track,PHYS 13300,CHEM 10100-10200,PHYS 15400,PHYS 23400-23500,MENG 26020,MENG 26030,MENG 26201-26202,MENG 29501,MENG 29500,
major in molecular engineering -- biology track,PHYS 13300,CHEM 10100-10200,PHYS 15400,PHYS 23400-23500,MENG 26020,MENG 26030,MENG 26201-26202,MENG 29501,MENG 29500,
major in molecular engineering -- quantum track,PHYS 13300,CHEM 10100-10200,PHYS 15400,PHYS 23400-23500,MENG 26020,MENG 26030,MENG 26201-26202,MENG 29501,MENG 29500,
south asian languages and civilizations,check electives,,,,,,,,,
psychology,PSYC 20200,,,,,,,,,
Visual Arts,ARTV 15000,ARTV 29600,ARTV 29850,ARTV 29900,,,,,,
Visual Arts studio track majors,ARTV 15000,ARTV 29600,ARTV 29850,ARTV 29900,,,,,,
