,term1,term2,term3,term4
FNDL 20024,Winter,,,
FNDL 20301,Autumn,,,
FNDL 21005,Autumn,,,
FNDL 21203,Winter,,,
FNDL 21300,Spring,,,
FNDL 21320,Autumn,,,
FNDL 21603,Spring,,,
FNDL 21650,Autumn,,,
FNDL 21806,Spring,,,
FNDL 21809,Spring,,,
FNDL 22001,Autumn,,,
FNDL 22211,Winter,,,
FNDL 22220,Autumn,,,
FNDL 22309,Spring,,,
FNDL 22310,Spring,,,
FNDL 23107,Winter,,,
FNDL 24403,Spring,,,
FNDL 24410,Spring,,,
FNDL 24504,Spring,,,
FNDL 24612,Winter,,,
FNDL 24901,Spring,,,
FNDL 25100,Spring,,,
FNDL 25817,Spring,,,
FNDL 26206,Winter,,,
FNDL 27103,Autumn,,,
FNDL 27201,Winter,,,
FNDL 27517,Winter,,,
FNDL 27950,Spring,,,
FNDL 28202,Winter,,,
FNDL 28204,Spring,,,
FNDL 29901,Autumn, Winter, Spring,
FNDL 29902,Spring,,,
ARTH 10100,Autumn,Winter,Spring,
ARTH 14107,Autumn,,,
ARTH 14115,Autumn,,,
ARTH 14200,Winter,,,
ARTH 14215,Winter,,,
ARTH 14700,Winter,,,
ARTH 15600,Winter,Spring,,
ARTH 15680,Spring,,,
ARTH 15707,Spring,,,
ARTH 15709,Autumn,,,
ARTH 16100,Winter,,,
ARTH 16211,Spring,,,
ARTH 16413,Spring,,,
ARTH 16460,Spring,,,
ARTH 16709,Winter,,,
ARTH 16800,Winter,,,
ARTH 16910,Spring,,,
ARTH 17209,Winter,,,
ARTH 17310,Spring,,,
ARTH 17311,Spring,,,
ARTH 17610,Winter,,,
ARTH 17700,Spring,,,
ARTH 17708,Spring,,,
ARTH 17735,Winter,,,
ARTH 18000,Autumn,,,
ARTH 18202,Winter,,,
ARTH 18305,Spring,,,
ARTH 20201,Autumn,,,
ARTH 20506,Winter,,,
ARTH 20603,Autumn,,,
ARTH 21205,Spring,,,
ARTH 23310,Winter,,,
ARTH 23400,Autumn,,,
ARTH 24010,Winter,,,
ARTH 24110,Autumn,,,
ARTH 24350,Spring,,,
ARTH 24812,Spring,,,
ARTH 27304,Spring,,,
ARTH 27615,Winter,,,
ARTH 28500,Autumn,,,
ARTH 28600,Winter,,,
ARTH 29400,Spring,,,
ARTH 29600,Winter,,,
ARTH 29700,Autumn,Winter,Spring,
ARTH 29800,Autumn,,,
ARTH 29900,Autumn,Winter,Spring,
CMSC 10100,Winter,,,
CMSC 10200,Spring,,,
CMSC 11000,Spring,,,
CMSC 11100,Spring,,,
CMSC 11710,Spring,,,
CMSC 12100,Autumn,,,
CMSC 12200,Winter,,,
CMSC 12300,Spring,,,
CMSC 15100,Summer,Autumn,Winter,
CMSC 15200,Summer,Winter,Spring,
CMSC 15400,Autumn,Spring,,
CMSC 16100,Autumn,,,
CMSC 16200,Winter,,,
CMSC 22001,Spring,,,
CMSC 22010,Spring,,,
CMSC 22100,Spring,,,
CMSC 22200,Autumn,,,
CMSC 22300,Winter,,,
CMSC 22311,Spring,,,
CMSC 22600,Autumn,,,
CMSC 22630,Autumn,,,
CMSC 23000,Autumn,,,
CMSC 23010,Winter,,,
CMSC 23200,Autumn,,,
CMSC 23300,Winter,,,
CMSC 23310,Spring,,,
CMSC 23400,Winter,,,
CMSC 23500,Winter,,,
CMSC 23700,Autumn,,,
CMSC 23710,Winter,,,
CMSC 23800,Spring,,,
CMSC 23900,Spring,,,
CMSC 25020,Spring,,,
CMSC 25025,Spring,,,
CMSC 25400,Autumn,,,
CMSC 27100,Autumn,Winter,,
CMSC 27130,Autumn,,,
CMSC 27200,Winter,Spring,,
CMSC 27230,Spring,,,
CMSC 27410,Spring,,,
CMSC 27500,Spring,,,
CMSC 27610,Spring,,,
CMSC 27700,Autumn,,,
CMSC 27800,Winter,,,
CMSC 28000,Autumn,,,
CMSC 28100,Spring,,,
CMSC 28501,Autumn,Winter,Spring,
CMSC 29700,Summer,Autumn,Winter,Spring
CMSC 29900,Summer,Autumn,Winter,Spring
CRWR 10200,Autumn,Winter,Spring,
CRWR 10205,Autumn,Winter,Spring,
CRWR 10255,Autumn,Winter,Spring,
CRWR 10300,Autumn,Winter,Spring,
CRWR 10305,Autumn,Winter,Spring,
CRWR 10400,Autumn,Winter,Spring,
CRWR 10405,Autumn,Winter,Spring,
CRWR 12000,Autumn,Winter,Spring,
CRWR 12012,Winter,,,
CRWR 12014,Spring,,,
CRWR 12017,Autumn,,,
CRWR 12018,Autumn,,,
CRWR 12020,Spring,,,
CRWR 12101,Autumn,,,
CRWR 12102,Autumn,,,
CRWR 12103,Autumn,,,
CRWR 12104,Spring,,,
CRWR 12105,Autumn,Winter,Spring,
CRWR 12107,Winter,,,
CRWR 12109,Autumn,,,
CRWR 12115,Autumn,,,
CRWR 12122,Spring,,,
CRWR 12125,Spring,,,
CRWR 13000,Autumn,Winter,Spring,
CRWR 13006,Spring,,,
CRWR 13015,Autumn,,,
CRWR 13016,Autumn,,,
CRWR 13017,Spring,,,
CRWR 14000,Autumn,Winter,Spring,
CRWR 14011,Winter,,,
CRWR 14012,Autumn,,,
CRWR 14015,Spring,,,
CRWR 21501,Spring,,,
CRWR 22100,Spring,,,
CRWR 22116,Autumn,,,
CRWR 22117,Autumn,,,
CRWR 22118,Spring,,,
CRWR 23100,Autumn,Winter,Spring,
CRWR 23112,Spring,,,
CRWR 24001,Spring,,,
CRWR 24002,Spring,,,
CRWR 24003,Autumn,,,
CRWR 24100,Autumn,Winter,Spring,
CRWR 25100,Winter,,,
CRWR 26100,Spring,,,
CRWR 26405,Spring,,,
CRWR 27002,Spring,,,
CRWR 27006,Spring,,,
CRWR 27101,Autumn,Winter,,
CRWR 27102,Autumn,Winter,,
CRWR 27105,Autumn,Winter,,
CRWR 27200,Winter,,,
CRWR 27300,Winter,,,
CRWR 28100,Winter,,,
CRWR 28200,Autumn,,,
CRWR 29200,Winter,,,
CRWR 29300,Winter,,,
CRWR 29400,Winter,,,
BIOS 24231,Winter,,,
BIOS 24232,Spring,,,
BIOS 24408,Spring,,,
BIOS 26210,Autumn,,,
BIOS 26211,Winter,,,
NSCI 20100,Spring,,,
NSCI 20110,Autumn,,,
NSCI 20120,Winter,,,
NSCI 20130,Spring,,,
NSCI 29100,Summer,Autumn,Winter,Spring
NSCI 29101,Summer,Autumn,Winter,Spring
NSCI 29102,Summer,Autumn,Winter,Spring
NSCI 29200,Summer,Autumn,Winter,Spring
NSCI 29201,Summer,Autumn,Winter,Spring
NSCI 29202,Summer,Autumn,Winter,Spring
CMST 10100,Autumn,Winter,Spring,
CMST 10300,Autumn,Winter,Spring,
CMST 14400,Autumn,Winter,Spring,
CMST 14503,Autumn,,,
CMST 14504,Winter,,,
CMST 14507,Spring,,,
CMST 14509,Spring,,,
CMST 21019,Winter,,,
CMST 21110,Winter,,,
CMST 21805,Winter,,,
CMST 21806,Spring,,,
CMST 23904,Winter,,,
CMST 23905,Winter, Spring,,
CMST 23930,Autumn,,,
CMST 23931,Winter,,,
CMST 24405,Winter,,,
CMST 24615,Spring,,,
CMST 24915,Autumn,,,
CMST 24921,Spring,,,
CMST 25503,Autumn,,,
CMST 25506,Spring,,,
CMST 26000,Winter,,,
